date,trading_day,firm,model,type,pre_close,close_d0,close_d1,close_d3,close_d5,googl_d0,googl_d1,googl_d3,googl_d5,qqq_d1,qqq_d3,qqq_d5,excess_d1,excess_d3,excess_d5,source,note
2022-11-30,2022-11-30,OpenAI,ChatGPT research release,Competitor,94.40970611572266,100.16215515136719,100.16215515136719,98.66454315185547,94.16175842285156,0.060930695288824,0.060930695288824,0.04506779240385983,-0.0026262945100916646,0.04686876248614125,0.025198666900200672,-0.0001425876219274258,0.014061932802682753,0.019869125503659157,-0.002483706888164239,https://openai.com/index/chatgpt/,The launch that started the consumer AI race and raised search-disruption concerns.
2023-02-06,2023-02-06,Google,Bard / LaMDA announcement,Google,103.92109680175781,102.0564956665039,106.75765228271484,94.23118591308594,93.83446502685547,-0.017942469745203526,0.02729528044116103,-0.09324296208263239,-0.09706048228247466,0.012084462923370287,-0.014697133052735789,-0.005486851104624213,0.015210817517790742,-0.0785458290298966,-0.09157363117785045,https://blog.google/technology/ai/bard-google-ai-search-updates/,Google's first major public response to ChatGPT; the later Feb. 8 demo amplified selling pressure.
2023-02-24,2023-02-24,Meta,LLaMA,Competitor,90.14494323730469,88.39936828613281,89.13330841064453,89.61930847167969,92.88233184814453,-0.019364091744743628,-0.011222313646557458,-0.005830995580542786,0.030366524316663313,-0.009702879192949876,-0.018933945090657933,0.00963549226517535,-0.0015194344536075821,0.013102949510115147,0.020731032051487963,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,Research release of Meta's foundational LLaMA model family.
2023-03-14,2023-03-14,OpenAI,GPT-4,Competitor,90.36314392089844,93.19970703125,95.3221664428711,100.78699493408203,104.05995178222656,0.031390708504283715,0.05487881792065208,0.11535511670895793,0.1515751584884868,0.028346537583020304,0.05046621961091913,0.06925090785347421,0.026532280337631775,0.0648888970980388,0.08232425063501259,https://openai.com/research/gpt-4,Major capability jump; direct benchmark pressure on Google's AI roadmap.
2023-07-11,2023-07-11,Anthropic,Claude 2,Competitor,115.49542236328125,116.17977905273438,117.95510864257812,124.39189910888672,122.74549865722656,0.005925400985162366,0.02129682916401765,0.0770288255894882,0.06277371124840592,0.017632994165004412,0.034692580339344525,0.052898897834155134,0.003663834999013238,0.04233624525014368,0.009874813414250783,https://www.anthropic.com/news/claude-2,Anthropic's second-generation chatbot and API model.
2023-07-18,2023-07-18,Meta,Llama 2,Competitor,123.62821197509766,122.74549865722656,121.02969360351562,119.03616333007812,121.20821380615234,-0.00714006377483567,-0.021018813829528193,-0.03714401892299879,-0.01957480521867272,0.007945443766730342,-0.01824291334073025,-0.010010012363254162,-0.028964257596258536,-0.01890110558226854,-0.009564792855418558,https://ai.meta.com/blog/llama-2/,Commercially usable open-weight model released with Microsoft as preferred partner.
2023-12-06,2023-12-06,Google,Gemini 1.0,Google,129.916259765625,128.95419311523438,135.80755615234375,132.19737243652344,131.48330688476562,-0.00740528285009312,0.045346874958892114,0.017558330843373104,0.0120619784002991,0.008107662438341157,0.0212502261147276,0.04247454200072065,0.03723921252055096,-0.003691895271354495,-0.03041256360042155,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,First Gemini family launch; Google's strongest direct answer to GPT-4.
2023-12-11,2023-12-11,Mistral AI,Mixtral 8x7B,Competitor,133.8834686279297,132.19737243652344,131.43370056152344,130.85845947265625,134.68679809570312,-0.012593759399018967,-0.018297763656051513,-0.02259434406857297,0.006000214036924412,0.016574505787979144,0.02861009685618976,0.04009254890786629,-0.03487226944403066,-0.05120444092476273,-0.034092334870941876,https://mistral.ai/news/mixtral-of-experts,Sparse mixture-of-experts open-weight model.
2024-02-15,2024-02-15,Google,Gemini 1.5,Google,144.7436981201172,141.5996856689453,139.3681182861328,141.38150024414062,142.7799072265625,-0.021721238934787945,-0.037138610549548035,-0.02322863046642909,-0.013567367139707964,-0.006116879412393916,-0.017566141339228403,0.00821757113313848,-0.031021731137154118,-0.005662489127200687,-0.021784938272846444,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/,Next-generation Gemini model with long-context emphasis.
2024-02-26,2024-02-26,Mistral AI,Mistral Large,Competitor,142.7799072265625,136.44232177734375,137.74156188964844,137.32501220703125,132.2569122314453,-0.044387096001976656,-0.03528749552217625,-0.038204920604657966,-0.07370081126624739,0.0018773206132165488,0.005082671210373757,0.016575831424502363,-0.0371648161353928,-0.04328759181503172,-0.09027664269074975,https://mistral.ai/en/news/mistral-large,Flagship proprietary model and Le Chat launch window.
